"phoneNumber(STRING)","country(STRING)","city(STRING)","objectId(STRING_ID)","updated(DATETIME)","ownerId(STRING)","streetAddress(STRING)","created(DATETIME)","locations__Restaurant__bcklsFK__ONE_TO_MANY","menu__Menu__bcklsFK__ONE_TO_ONE"
"(44) 279-09-62","Ukraine","Kyiv","027C1053-FB72-1ABB-FFE8-B2092FA2F900","02/19/2015 00:00:00 GMT+0000",null,"Liuteranska Street, 3","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44) 591-37-67","Ukraine","Kyiv","1D1CC4F9-10C3-B71B-FFF3-A4D566D13C00","02/19/2015 00:00:00 GMT+0000",null,"Antonovycha Street, 176","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44) 221-35-55","Ukraine","Kyiv","297649D5-91C0-2FEE-FF76-8F95592A1900","02/19/2015 00:00:00 GMT+0000",null,"Mayakovs'koho Ave, 5В","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44)250-24-44","Ukraine","Kyiv","321EB612-34B1-E9CC-FF7A-4CF4F36B2D00","02/19/2015 00:00:00 GMT+0000",null,"Akademika Vil'yamsa St, 5","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"415-222-3333","United States","San Francisco","487EC73B-1A35-56F9-FF0C-D2D489148600","02/19/2015 00:00:00 GMT+0000",null,"7878 Elm St","01/18/2015 00:00:00 GMT+0000",null,null
"(44) 287-13-60","Ukraine","Kyiv","51851F5D-B6B7-372D-FFD3-25EF3FEB4500","02/19/2015 00:00:00 GMT+0000",null,"Chervonoarmiis'ka St, 88","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44) 289-38-89","Ukraine","Kyiv","66771EA0-16FC-F8CA-FFAE-F9BE725AD100","02/19/2015 00:00:00 GMT+0000",null,"Rohnidynska St, 5/14","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(044) 277-17-70","Ukraine","Kyiv","7817166D-4E5E-7171-FF4E-FE325F3E1A00",null,null,"Vadyma Hetmana St, 6","02/19/2015 00:00:00 GMT+0000","834AA1E2-1B8C-46F0-FFA9-BD2742B65500","6330D24A-B64F-7373-FF09-B4D064F99A00"
"(44) 390-42-16","Ukraine","Kyiv","7869E68D-3349-4FDF-FF6D-75090BC4CC00","02/19/2015 00:00:00 GMT+0000",null,"Peremohy Ave, 84В","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44) 285-75-80","Ukraine","Kyiv","878FD701-8688-BB18-FFD0-075D11359600","02/19/2015 00:00:00 GMT+0000",null,"Lesi Ukrainky Boulevard, 19","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
"(44) 234-33-45","Ukraine","Kyiv","90BA03D8-CBBE-EA5E-FF69-E790635B2000","02/19/2015 00:00:00 GMT+0000",null,"Lva Tolstoho St, 11/61","02/19/2015 00:00:00 GMT+0000","E1118F7D-AF69-8630-FF53-4A3FD5A90900",null
